folder,set_id,mode,task,problem_id,level,model_raw,model,correct,outcome,speedup,dram_util,compute_pct,power_w,energy_mj,fusion,occupancy,sol_score,timeout_recovered,total_turns,first_correct_step,wall_clock_s,llm_total_tokens
pop_l123_all_gpt,set1,all,10_GFVLA_FusedPairwiseNodeAggregate.py,10,2,grok-4.3,grok-4.3,True,correct,0.007677725118483412,1.17,9.09,125.67,2650.54,5.5556,24.14795893566194,0.0909,False,6,4.0,768.883356,48552
pop_l123_all_gpt,set1,all,15_GQAKVHeadExpansionAttention.py,15,2,grok-4.3,grok-4.3,False,compile_fail,,,,,,,,,False,4,2.0,768.556929,21393
pop_l123_all_gpt,set1,all,5_LayerNorm_GELU_DilatedConv1d_ResAdd.py,5,2,grok-4.3,grok-4.3,True,correct,0.9550173010380621,100.0,89.97,83.54,240.88,0.9167,616.8744808129842,1.0,False,4,2.0,1031.989201,15284
pop_l123_all_gpt,set1,all,46_SteinVariationalGradient.py,46,2,grok-4.3,grok-4.3,True,correct,0.046341463414634146,1.42,9.1,120.64,2409.14,3.6,106.57143113670233,0.091,False,11,9.0,872.998491,91280
pop_l123_all_gpt,set1,all,29_logsumexp_across_virtual_ranks.py,29,1,grok-4.3,grok-4.3,True,correct,5.447019867549669,0.1,0.0,0.0,0.0,20.0,9.99087591240876,0.001,False,4,2.0,845.47049,13114
pop_l123_all_gpt,set1,all,47_virtual_all_gather_concat_linear.py,47,2,grok-4.3,grok-4.3,True,correct,0.8188405797101449,0.11,0.0,0.0,0.0,14.0,3.105803739854701,0.0011,False,4,2.0,357.01516,14530
pop_l123_all_gpt,set1,all,8_DeepSeekMoEGroundedTop2Routing.py,8,2,grok-4.3,grok-4.3,True,correct,0.26747404844290656,0.25,0.0,0.0,0.0,20.0,12.48974742119526,0.0025,False,5,3.0,585.463475,22269
pop_l123_all_gpt,set1,all,2_FusedMultiStepDiffusionSolver.py,2,3,grok-4.3,grok-4.3,False,compile_fail,,,,,,,,,False,3,1.0,1057.579598,18790
pop_l123_all_gpt,set1,all,35_FusedConv1dGroupNorm.py,35,2,grok-4.3,grok-4.3,True,correct,1.0084951456310678,100.0,48.27,0.0,0.0,1.0,440.85229036900137,1.0,False,9,,854.494094,67285
pop_l123_all_gpt,set1,all,1_Conv1d_Depthwise.py,1,1,grok-4.3,grok-4.3,True,correct,1.5795868772782504,48.75,20.91,0.0,0.0,1.3333,77.02757958706243,0.4875,False,8,2.0,962.276095,46931
pop_l123_all_gpt,set1,all,16_DeepSeekMoECombineScatter.py,16,1,grok-4.3,grok-4.3,True,correct,1469.879518072289,2.16,0.0,0.0,0.0,5760.5,27.14870859655501,0.0216,False,5,3.0,976.802477,21033
pop_l123_all_gpt,set1,all,14_GaussianProcessRBFKernel.py,14,1,grok-4.3,grok-4.3,True,correct,2.153209109730849,0.73,15.51,6460.23,242.12,7.4,85.54713237638015,0.1551,False,4,2.0,498.295274,15939
pop_l123_all_gpt,set1,all,37_CSRFusedAttentionValue.py,37,2,grok-4.3,grok-4.3,True,correct,1344.3396226415093,1.29,5.35,0.0,0.0,960.3333,26.631516361297077,0.0535,False,7,5.0,1942.763022,47616
pop_l123_all_gpt,set1,all,13_FarthestPointSampling3D.py,13,1,grok-4.3,grok-4.3,True,correct,70.44025157232704,0.01,5.9,1523.15,242.64,2054.0,12.49959459237546,0.059,False,7,5.0,967.518278,44226
pop_l123_all_gpt,set1,all,4_GFVLA_FusedSceneGraphUpdate.py,4,2,grok-4.3,grok-4.3,False,incorrect,,0.37,0.0,,,,12.222382048331417,0.0037,False,6,3.0,2285.32776,37163
pop_l123_all_gpt,set1,all,30_SelectiveScan_Mamba.py,30,2,grok-4.3,grok-4.3,True,correct,41.87817258883249,100.0,5.79,122.91,482.68,889.3667,143.71665110692024,1.0,False,11,9.0,1565.89982,108722
pop_l123_all_gpt,set1,all,6_HyenaOperator.py,6,3,grok-4.3,grok-4.3,False,incorrect,,100.0,15.25,,,,1139.3362895725995,1.0,False,4,2.0,1660.580257,18021
pop_l123_all_gpt,set1,all,18_CSRMultiHeadSpMM.py,18,1,grok-4.3,grok-4.3,False,compile_fail,,,,,,,,,False,8,,2410.739635,52641
pop_l123_all_gpt,set1,all,30_broadcast_masked_from_row0.py,30,1,grok-4.3,grok-4.3,True,correct,1.0495356037151702,0.05,0.0,0.0,0.0,3.6667,10.406349280508316,0.0005,False,4,2.0,122.148776,14044
pop_l123_all_gpt,set1,all,32_argmax_tiebreak_smallest_rank.py,32,1,grok-4.3,grok-4.3,False,compile_fail,,,,,,,,,False,6,2.0,1615.987233,24387
pop_l123_all_gpt,set1,all,50_HiddenMarkovForward.py,50,2,grok-4.3,grok-4.3,False,compile_fail,,,,,,,,,False,10,,2105.444673,87814
pop_l123_all_gpt,set1,all,12_DeepSeekMoEDispatchPermute.py,12,1,grok-4.3,grok-4.3,True,correct,628.2442748091603,1.53,0.0,0.0,0.0,1741.2,40.731477023118245,0.0153,False,9,7.0,1090.012765,60527
pop_l123_all_gpt,set1,all,20_GatedDeltaNetLinearAttention.py,20,2,grok-4.3,grok-4.3,True,correct,33.09803921568627,0.08,0.0,0.0,0.0,993.75,18.71668709543212,0.0008,False,4,2.0,520.46485,17572
pop_l123_all_gpt,set1,all,17_CSRMaxAggregation.py,17,1,grok-4.3,grok-4.3,False,compile_fail,,,,,,,,,False,11,,1762.544228,79905
pop_l123_all_gpt,set1,all,2_GraphEdgeSoftmaxCSR.py,2,1,grok-4.3,grok-4.3,False,compile_fail,,,,,,,,,False,12,9.0,784.874585,108698
pop_l123_all_gpt,set1,all,49_sum_gelu_across_virtual_ranks.py,49,2,grok-4.3,grok-4.3,True,correct,1.5312,0.13,0.0,0.0,0.0,3.0,10.996052321470659,0.0013,False,8,6.0,557.704823,34999
pop_l123_all_gpt,set1,all,9_MetropolisHastingsStep.py,9,2,grok-4.3,grok-4.3,False,compile_fail,,,,,,,,,False,4,2.0,248.608332,21357
pop_l123_all_gpt,set1,all,7_Conv1d_Depthwise_Separable.py,7,2,grok-4.3,grok-4.3,False,incorrect,,29.41,50.55,,,,186.06464232995776,0.5055,False,9,,625.244295,67895
pop_l123_all_gpt,set1,all,11_pipeline_three_stage_mlp.py,11,3,grok-4.3,grok-4.3,True,correct,0.1175531914893617,0.01,0.0,0.0,0.0,22.0,9.386331731748198,0.0001,False,5,3.0,1263.844844,22744
pop_l123_all_gpt,set1,all,27_permutation_all_to_all.py,27,1,grok-4.3,grok-4.3,True,correct,4.862236628849271,0.05,0.0,0.0,0.0,8.0,10.303885564018863,0.0005,False,7,4.0,2652.035169,28575
pop_l123_all_gpt,set1,all,12_BatchNorm_GELU_DilatedConv1d_ResAdd.py,12,2,grok-4.3,grok-4.3,False,compile_fail,,,,,,,,,False,7,,457.105897,71295
pop_l123_all_gpt,set1,all,12_NormalizingFlowPlanar.py,12,3,grok-4.3,grok-4.3,False,incorrect,,1.69,10.46,,,,105.16848699245509,0.1046,False,11,,863.541858,103216
pop_l123_all_gpt,set1,all,7_GaussianProcessRegression.py,7,3,grok-4.3,grok-4.3,True,correct,1.0684596577017116,22.6,100.0,330.8,241.58,1.2844,694.4966163984886,1.0,False,5,2.0,1585.618317,25643
pop_l123_all_gpt,set1,all,10_SampledDenseDenseMatmulEdges.py,10,1,grok-4.3,grok-4.3,True,correct,1.0194174757281553,2.0,0.0,0.0,0.0,2.1111,24.43766005703867,0.02,False,11,9.0,776.143933,76778
pop_l123_all_gpt,set1,all,9_BayesianLinearRegression.py,9,3,grok-4.3,grok-4.3,False,incorrect,,0.01,0.0,,,,1.5624998616251398,0.0001,False,6,,2287.2765,41771
pop_l123_all_gpt,set1,all,22_FusedBallQuery3D.py,22,2,grok-4.3,grok-4.3,True,correct,2.533062054933876,0.01,5.54,0.0,0.0,89.0,11.45248061953636,0.0554,False,5,2.0,406.117801,25334
pop_l123_all_gpt,set1,all,14_TriangularMultiplicativeUpdateOutgoing.py,14,2,grok-4.3,grok-4.3,True,correct,1.2302405498281788,53.6,7.67,0.0,0.0,1.4429,218.28829463184732,0.536,False,7,,1140.402633,63548
pop_l123_all_gpt,set1,all,28_FusedGroupNormSiLU.py,28,2,grok-4.3,grok-4.3,True,correct,1.297029702970297,8.63,14.94,0.0,0.0,6.0,23.880408560817763,0.1494,False,4,2.0,1481.406206,17444
pop_l123_all_gpt,set1,all,1_DeepSeekMLALoRAExpansion.py,1,2,grok-4.3,grok-4.3,True,correct,0.5176470588235295,0.23,0.0,0.0,0.0,13.0,30.150941251791657,0.0023,False,10,8.0,1905.12793,83313
pop_l123_all_gpt,set1,all,5_Conv1d_Causal.py,5,1,grok-4.3,grok-4.3,False,incorrect,,0.29,24.97,,,,99.36286571586142,0.2497,False,15,,1385.207759,165559
pop_l123_all_gpt,set1,all,6_TriangularAttention.py,6,2,grok-4.3,grok-4.3,True,correct,0.9872340425531916,39.72,63.44,717.19,241.36,1.0071,131.55673402203047,0.6344,False,4,,697.439096,18728
pop_l123_all_gpt,set1,all,3_SSM2D_FusedBidirectionalCrossScan.py,3,3,grok-4.3,grok-4.3,True,correct,6.40926640926641,2.76,30.66,0.0,0.0,22.8,81.40872454450405,0.3066,False,3,1.0,278.708635,18197
pop_l123_all_gpt,set1,all,4_MambaBlock.py,4,3,grok-4.3,grok-4.3,True,correct,22.620689655172413,100.0,25.85,100.51,725.68,250.0374,1214.774939151045,1.0,False,8,6.0,1154.887983,60038
pop_l123_all_gpt,set1,all,19_DepthwiseSeparableConv1D_GELU_ResAdd.py,19,2,grok-4.3,grok-4.3,True,correct,1.0,100.0,100.0,136.13,241.86,1.0,463.2878440238192,1.0,False,4,,580.36947,16614
pop_l123_all_gpt,set1,all,21_TriangularMultiplicativeUpdateIncoming.py,21,2,grok-4.3,grok-4.3,True,correct,1.1875000000000002,52.22,7.26,0.0,0.0,1.4429,216.98840020639983,0.5222,False,5,2.0,976.762379,25108
pop_l123_all_gpt,set1,all,13_QuantVLA_SelectiveLayoutFusion.py,13,2,grok-4.3,grok-4.3,True,correct,1.1778029445073612,6.64,18.16,0.0,0.0,1.6842,61.63261568702524,0.1816,False,5,3.0,736.674404,23146
pop_l123_all_gpt,set1,all,4_GJKRobotEnvironmentIntersection.py,4,1,grok-4.3,grok-4.3,True,correct,153.45911949685535,0.09,0.0,0.0,0.0,295.0,6.636969042476601,0.0009,False,3,1.0,482.842666,20007
pop_l123_all_gpt,set1,all,20_RotaryPositionEmbeddingBio.py,20,1,grok-4.3,grok-4.3,True,correct,2.8253968253968256,20.65,37.12,0.0,0.0,2.5,105.57579476303789,0.3712,False,4,2.0,546.381597,24210
pop_l123_all_gpt,set1,all,33_VectorizedPoseTransformFused.py,33,2,grok-4.3,grok-4.3,True,correct,50.693374422187986,0.48,5.72,0.0,0.0,91.0,12.228856380216449,0.0572,False,6,4.0,1393.477098,37437
pop_l123_all_gpt,set1,all,22_SE3InvariantLinear.py,22,1,grok-4.3,grok-4.3,True,correct,0.6344647519582245,0.05,0.0,874.38,241.56,25.5,12.48777625866832,0.0005,False,6,4.0,860.001485,43194
pop_l123_all_gpt,set1,all,43_ContactMapPrediction.py,43,2,grok-4.3,grok-4.3,True,correct,0.7283236994219654,0.82,6.77,0.0,0.0,41.0,12.499209501201884,0.0677,False,5,3.0,1086.82244,28519
pop_l123_all_gpt,set1,all,1_DilatedConvTower_GenomicBlock.py,1,3,grok-4.3,grok-4.3,True,correct,0.9919678714859438,100.0,100.0,144.9,3584.9,1.0,4392.389572882929,1.0,False,3,,904.248492,11946
pop_l123_all_gpt,set1,all,10_GaussianMixtureModelEM.py,10,3,grok-4.3,grok-4.3,True,correct,0.010220994475138122,0.19,0.0,121.6,21863.26,34.3889,26.004698877046494,0.0019,False,5,2.0,1244.067389,35858
pop_l123_all_gpt,set1,all,23_virtual_all_reduce_mean.py,23,1,grok-4.3,grok-4.3,True,correct,1.1777408637873754,0.19,0.0,0.0,0.0,2.0,12.330422860441622,0.0019,False,3,1.0,135.606167,10364
pop_l123_all_gpt,set1,all,8_SegmentTopKCSR.py,8,1,grok-4.3,grok-4.3,False,incorrect,,0.09,0.0,,,,12.406402586735172,0.0009,False,6,,1125.740979,37654
pop_l123_all_gpt,set1,all,45_AxialAttention.py,45,2,grok-4.3,grok-4.3,False,incorrect,,,,,,,,-1.0,False,5,,725.478866,21970
pop_l123_all_gpt,set1,all,3_CSRSpMMMessagePassing.py,3,1,grok-4.3,grok-4.3,False,compile_fail,,,,,,,,,False,9,,529.13411,51402
pop_l123_all_gpt,set1,all,11_DegreeNormalizedAggregation.py,11,1,grok-4.3,grok-4.3,False,incorrect,,0.05,0.0,,,,6.20288197621226,0.0005,False,7,,1575.565406,46437
pop_l123_all_gpt,set1,all,44_ReparameterizationTrick.py,44,2,grok-4.3,grok-4.3,True,correct,1.5574324324324327,3.47,51.22,0.0,0.0,2.4565,167.52920807798955,0.5122,False,5,3.0,870.227418,34478
pop_l123_all_gpt,set1,all,32_MSAColumnAttention.py,32,2,grok-4.3,grok-4.3,False,incorrect,,1.25,0.0,,,,12.109224100422493,0.0125,False,3,,1249.44154,12611
pop_l123_all_gpt,set1,all,3_FusedCrossAttentionRoPEDropout.py,3,2,grok-4.3,grok-4.3,False,incorrect,,2.37,0.0,,,,28.401763546010393,0.0237,False,5,,354.296246,23942
pop_l123_all_gpt,set1,all,41_VariationalELBO.py,41,2,grok-4.3,grok-4.3,True,correct,1.211469534050179,5.75,31.09,0.0,0.0,2.44,125.24066274559063,0.3109,False,7,4.0,1471.316214,69076
pop_l123_all_gpt,set1,all,16_HamiltonianMonteCarloStep.py,16,2,grok-4.3,grok-4.3,False,compile_fail,,,,,,,,,False,9,,597.912561,62866
pop_l123_all_gpt,set1,all,23_GibbsSamplingStep.py,23,2,grok-4.3,grok-4.3,True,correct,5.634028892455858,9.97,18.88,0.0,0.0,4.6784,611.4500979730589,0.1888,False,6,4.0,982.756356,44566
pop_l123_all_gpt,set1,all,5_FlowMatchingProbabilityFlowODE.py,5,3,grok-4.3,grok-4.3,True,correct,0.05027173913043479,0.0007252061988201239,0.0,120.6,8728.78,368.5,1.5624999892582347,0.0,False,6,3.0,499.330337,37487
pop_l123_all_gpt,set1,all,24_VoxelGridPooling.py,24,1,grok-4.3,grok-4.3,True,correct,92.0863309352518,8.05,19.0,0.0,0.0,114.9744,182.45974666322482,0.19,False,5,3.0,1141.48874,25468
pop_l123_all_gpt,set1,all,17_FP8ScaledAttention.py,17,2,grok-4.3,grok-4.3,False,incorrect,,0.04,0.0,,,,6.2118783234282136,0.0004,False,6,,1739.941109,43845
pop_l123_all_gpt,set1,all,13_ConditionalVAELoss.py,13,3,grok-4.3,grok-4.3,True,correct,1.0825958702064895,14.59,96.64,0.0,0.0,1.0,311.92971164252776,0.9664,False,6,3.0,977.510848,34402
pop_l123_all_gpt,set1,all,15_COOScatterAddNodeFeatures.py,15,1,grok-4.3,grok-4.3,True,correct,0.6034482758620691,6.06,0.0,0.0,0.0,1.125,24.228529617340094,0.0606,False,5,3.0,396.614191,21256
pop_l123_all_gpt,set1,all,39_Fused1DTemporalConvolution.py,39,2,grok-4.3,grok-4.3,False,incorrect,,0.19,21.94,,,,73.19213638529232,0.2194,False,10,,2102.454875,78839
pop_l123_all_gpt,set1,all,19_PairwiseDistanceMatrix.py,19,1,grok-4.3,grok-4.3,True,correct,6.595041322314049,0.19,21.09,0.0,0.0,12.0,69.59704373764278,0.2109,False,9,2.0,1333.864853,48266
pop_l123_all_gpt,set1,all,40_SmithWatermanDPScore.py,40,2,grok-4.3,grok-4.3,True,correct,720.6703910614525,0.06,5.1,0.0,0.0,15364.0,7.671245151317573,0.051,False,6,4.0,389.725023,31959
pop_l123_all_gpt,set1,all,29_MSARowAttention.py,29,2,grok-4.3,grok-4.3,False,compile_fail,,,,,,,,,False,2,,61.721197,8903
pop_l123_all_gpt,set1,all,42_BatchedForwardKinematics.py,42,2,grok-4.3,grok-4.3,True,correct,3.1059506531204644,0.05,0.0,0.0,0.0,14.0,4.067357512953368,0.0005,False,4,2.0,1212.826446,15285
pop_l123_all_gpt,set1,all,25_virtual_reduce_scatter_masked_sum.py,25,1,grok-4.3,grok-4.3,False,compile_fail,,,,,,,,,False,4,2.0,106.942628,16985
pop_l123_all_gpt,set1,all,6_EdgeSoftmaxMultiHeadCSR.py,6,1,FW-GLM-5-1,fw-glm-5-1,True,correct,1129.7709923664122,1.36,0.0,0.0,0.0,823.1429,9.596087312063435,0.0136,False,15,5.0,2115.760019,148058
pop_l123_all_gpt,set1,all,1_Conv1d_Depthwise.py,1,1,FW-GLM-5-1,fw-glm-5-1,True,correct,1.3782051282051282,38.7,37.48,0.0,0.0,12.0,84.25998996644746,0.387,False,14,2.0,1321.988765,148855
pop_l123_all_gpt,set1,all,15_COOScatterAddNodeFeatures.py,15,1,FW-GLM-5-1,fw-glm-5-1,True,correct,0.647239263803681,6.45,0.0,0.0,0.0,1.125,17.93205256597878,0.0645,False,15,6.0,1911.120347,112984
pop_l123_all_gpt,set1,all,5_Conv1d_Causal.py,5,1,FW-GLM-5-1,fw-glm-5-1,False,incorrect,,0.44,27.88,,,,95.9152283986327,0.2788,False,15,,2915.143742,157499
pop_l123_all_gpt,set1,all,13_FarthestPointSampling3D.py,13,1,FW-GLM-5-1,fw-glm-5-1,True,correct,71.12676056338029,0.01,5.12,0.0,0.0,4108.0,12.499550645687583,0.0512,False,15,12.0,4793.492531,177450
pop_l123_all_gpt,set1,all,22_FusedBallQuery3D.py,22,2,FW-GLM-5-1,fw-glm-5-1,True,correct,2.8029375764993882,0.02,0.0,0.0,0.0,89.0,11.432709372802464,0.0002,False,15,4.0,2590.227186,246539
pop_l123_all_gpt,set1,all,47_virtual_all_gather_concat_linear.py,47,2,FW-GLM-5-1,fw-glm-5-1,True,correct,0.6547619047619048,0.09,0.0,0.0,0.0,14.0,6.239448116230012,0.0009,False,15,2.0,2838.376292,145937
pop_l123_all_gpt,set1,all,25_OuterProductMean.py,25,2,FW-GLM-5-1,fw-glm-5-1,True,correct,1.5586206896551726,12.57,53.07,0.0,0.0,1.9737,256.0160977110402,0.5307,False,14,5.0,3670.348065,191669
pop_l123_all_gpt,set1,all,4_GJKRobotEnvironmentIntersection.py,4,1,FW-GLM-5-1,fw-glm-5-1,True,correct,144.88188976377953,0.05,0.0,0.0,0.0,295.0,6.330902657921989,0.0005,False,6,2.0,566.29736,45809
pop_l123_all_gpt,set1,all,10_GFVLA_FusedPairwiseNodeAggregate.py,10,2,FW-GLM-5-1,fw-glm-5-1,True,correct,0.005109170305676857,2.66,5.56,128.65,2932.46,2.6316,31.463181290496966,0.0556,False,15,6.0,4474.048306,341381
pop_l123_all_gpt,set1,all,9_BayesianLinearRegression.py,9,3,FW-GLM-5-1,fw-glm-5-1,True,correct,1.7013574660633484,0.05,0.0,1512.89,241.2,70.5,12.409186270201447,0.0005,False,15,4.0,3115.386979,294808
pop_l123_all_gpt,set1,all,39_Fused1DTemporalConvolution.py,39,2,FW-GLM-5-1,fw-glm-5-1,False,incorrect,,0.3,32.54,,,,97.33846981115167,0.3254,False,15,,1075.818282,178981
pop_l123_all_gpt,set1,all,25_virtual_reduce_scatter_masked_sum.py,25,1,FW-GLM-5-1,fw-glm-5-1,True,correct,0.8516129032258064,0.04,0.0,0.0,0.0,7.0,1.5625,0.0004,False,14,2.0,4808.415303,165061
pop_l123_all_gpt,set1,all,23_virtual_all_reduce_mean.py,23,1,FW-GLM-5-1,fw-glm-5-1,True,correct,1.2325174825174825,0.14,0.0,0.0,0.0,2.0,34.98557295960428,0.0014,False,14,2.0,2407.276991,117573
pop_l123_all_gpt,set1,all,23_GibbsSamplingStep.py,23,2,FW-GLM-5-1,fw-glm-5-1,True,correct,8.431372549019608,6.26,15.04,0.0,0.0,5.6424,418.90415123160614,0.1504,False,14,7.0,1838.043659,130900
pop_l123_all_gpt,set1,all,21_TriangularMultiplicativeUpdateIncoming.py,21,2,FW-GLM-5-1,fw-glm-5-1,True,correct,0.3667745415318231,6.76,14.63,0.0,0.0,12.625,140.63308624945637,0.1463,False,15,5.0,4091.888305,528938
pop_l123_all_gpt,set1,all,28_DirichletMultinomialLogLikelihood.py,28,1,FW-GLM-5-1,fw-glm-5-1,True,correct,16.458852867830426,3.27,14.43,0.0,0.0,18.0,38.976032475779974,0.1443,False,15,4.0,1175.136442,167136
pop_l123_all_gpt,set1,all,45_AxialAttention.py,45,2,FW-GLM-5-1,fw-glm-5-1,False,incorrect,,100.0,12.99,,,,942.4685930656387,1.0,False,15,3.0,3580.378418,344434
pop_l123_all_gpt,set1,all,42_BatchedForwardKinematics.py,42,2,FW-GLM-5-1,fw-glm-5-1,True,correct,3.0152143845089903,0.06,0.0,0.0,0.0,14.0,2.086090187296417,0.0006,False,14,2.0,3220.640228,121439
pop_l123_all_gpt,set1,all,29_MSARowAttention.py,29,2,FW-GLM-5-1,fw-glm-5-1,True,correct,3.8523206751054855,21.35,59.52,1158.4,241.34,1.466,91.02511028451033,0.5952,False,15,13.0,1684.790233,265663
pop_l123_all_gpt,set1,all,17_CSRMaxAggregation.py,17,1,FW-GLM-5-1,fw-glm-5-1,False,incorrect,,,,,,,,-1.0,False,15,,3411.679637,115696
pop_l123_all_gpt,set1,all,8_EvoformerBlock.py,8,3,FW-GLM-5-1,fw-glm-5-1,True,correct,0.3813278008298755,100.0,8.27,212.12,482.54,1.5176,388.06021550785965,1.0,False,15,5.0,2714.872715,400776
pop_l123_all_gpt,set1,all,3_SSM2D_FusedBidirectionalCrossScan.py,3,3,FW-GLM-5-1,fw-glm-5-1,True,correct,12.363636363636362,19.49,29.51,0.0,0.0,22.8,80.55773471508002,0.2951,False,15,6.0,1478.170622,232251
pop_l123_all_gpt,set1,all,24_KimiDeltaAttentionChannelwise.py,24,2,FW-GLM-5-1,fw-glm-5-1,True,correct,31.64835164835165,0.15,0.0,1650.82,241.4,352.875,18.657648969067132,0.0015,False,15,7.0,6529.201866,208039
pop_l123_all_gpt,set1,all,44_ReparameterizationTrick.py,44,2,FW-GLM-5-1,fw-glm-5-1,True,correct,2.355421686746988,6.38,52.7,0.0,0.0,1.7656,193.22854909740832,0.527,False,13,9.0,3796.095334,334704
pop_l123_all_gpt,set1,all,26_ImportanceSampling.py,26,1,FW-GLM-5-1,fw-glm-5-1,False,incorrect,,1.13,22.77,,,,57.231295694875314,0.2277,False,15,,1216.508873,300970
pop_l123_all_gpt,set1,all,5_FlowMatchingProbabilityFlowODE.py,5,3,FW-GLM-5-1,fw-glm-5-1,True,correct,2.0,0.01,0.0,0.0,0.0,368.5,12.499635026692838,0.0001,False,15,5.0,4471.590867,278461
pop_l123_all_gpt,set1,all,49_sum_gelu_across_virtual_ranks.py,49,2,FW-GLM-5-1,fw-glm-5-1,True,correct,1.588628762541806,0.13,0.0,0.0,0.0,3.0,11.016927083333332,0.0013,False,15,7.0,9335.136466,126871
pop_l123_all_gpt,set1,all,14_TriangularMultiplicativeUpdateOutgoing.py,14,2,FW-GLM-5-1,fw-glm-5-1,True,correct,1.5560747663551402,52.4,7.51,0.0,0.0,1.4429,216.62365111240496,0.524,False,15,10.0,1092.549475,164473
pop_l123_all_gpt,set1,all,7_Conv1d_FFT.py,7,1,FW-GLM-5-1,fw-glm-5-1,True,correct,1.28,100.0,7.28,0.0,0.0,61.0,375.06543151565563,1.0,False,15,3.0,4226.571685,220402
pop_l123_all_gpt,set1,all,50_HiddenMarkovForward.py,50,2,FW-GLM-5-1,fw-glm-5-1,False,error,,,,,,,,,False,16,,1418.453597,255345
pop_l123_all_gpt,set1,all,30_SelectiveScan_Mamba.py,30,2,FW-GLM-5-1,fw-glm-5-1,False,error,,,,,,,,,False,16,,657.459725,292774
pop_l123_all_gpt,set1,all,41_VariationalELBO.py,41,2,FW-GLM-5-1,fw-glm-5-1,True,correct,1.54468085106383,0.37,19.09,0.0,0.0,10.1667,24.945535620601653,0.1909,False,14,3.0,1465.424117,312586
pop_l123_all_gpt,set1,all,12_DeepSeekMoEDispatchPermute.py,12,1,FW-GLM-5-1,fw-glm-5-1,True,correct,864.4957983193276,3.04,0.0,0.0,0.0,1741.2,40.89952004339349,0.0304,False,14,8.0,2745.304968,117205
pop_l123_all_gpt,set1,all,29_logsumexp_across_virtual_ranks.py,29,1,FW-GLM-5-1,fw-glm-5-1,True,correct,5.901360544217687,0.08,0.0,0.0,0.0,20.0,9.952392849211636,0.0008,False,15,2.0,1308.437398,139430
