folder,set_id,mode,model,problem_id,outcome,correct,total_turns,timeout_events,had_timeout,first_correct_step,mid_pass_step,error_types_str,num_tool_calls,tools_str
pop_l123_all_gpt,set1,all,grok-4.3,49,correct,True,8,0,False,6.0,6.0,correctness_fail|correctness_fail|compile_error|correctness_fail,8,get_gpu_specs|compile_kernel|run_correctness|run_correctness|compile_kernel|run_correctness|run_correctness|submit_kernel
pop_l123_all_gpt,set1,all,grok-4.3,9,compile_fail,False,4,0,False,2.0,2.0,compile_error,3,compile_kernel|run_correctness|submit_kernel
pop_l123_all_gpt,set1,all,grok-4.3,7,incorrect,False,9,0,False,,,correctness_fail|correctness_fail|correctness_fail|correctness_fail|correctness_fail,9,get_gpu_specs|compile_kernel|run_correctness|run_correctness|compile_kernel|run_correctness|run_correctness|profile_kernel|submit_kernel
pop_l123_all_gpt,set1,all,grok-4.3,11,correct,True,5,0,False,3.0,3.0,compile_error,5,get_gpu_specs|compile_kernel|compile_kernel|run_correctness|submit_kernel
pop_l123_all_gpt,set1,all,grok-4.3,27,correct,True,7,0,False,4.0,4.0,correctness_fail,7,get_gpu_specs|compile_kernel|run_correctness|compile_kernel|run_correctness|profile_kernel|submit_kernel
pop_l123_all_gpt,set1,all,grok-4.3,12,compile_fail,False,7,0,False,,,compile_error|compile_error|compile_error|compile_error|compile_error|compile_error,6,compile_kernel|compile_kernel|compile_kernel|compile_kernel|compile_kernel|submit_kernel
pop_l123_all_gpt,set1,all,grok-4.3,12,incorrect,False,11,0,False,,,correctness_fail|correctness_fail|correctness_fail|correctness_fail|correctness_fail,11,get_gpu_specs|compile_kernel|run_correctness|compile_kernel|run_correctness|compile_kernel|run_correctness|compile_kernel|run_correctness|static_check|submit_kernel
pop_l123_all_gpt,set1,all,grok-4.3,7,correct,True,5,0,False,2.0,2.0,,5,get_gpu_specs|compile_kernel|run_correctness|static_check|submit_kernel
pop_l123_all_gpt,set1,all,grok-4.3,10,correct,True,11,0,False,9.0,9.0,correctness_fail|correctness_fail|correctness_fail|correctness_fail,11,compile_kernel|run_correctness|compile_kernel|run_correctness|compile_kernel|run_correctness|compile_kernel|run_correctness|compile_kernel|run_correctness|submit_kernel
pop_l123_all_gpt,set1,all,grok-4.3,9,incorrect,False,6,0,False,,,compile_error|compile_error|compile_error|correctness_fail,6,get_gpu_specs|compile_kernel|compile_kernel|run_correctness|compile_kernel|submit_kernel
pop_l123_all_gpt,set1,all,grok-4.3,22,correct,True,5,0,False,2.0,2.0,,5,get_gpu_specs|compile_kernel|run_correctness|profile_kernel|submit_kernel
pop_l123_all_gpt,set1,all,grok-4.3,14,correct,True,7,0,False,6.0,,compile_error|correctness_fail|correctness_fail,6,compile_kernel|compile_kernel|run_correctness|compile_kernel|run_correctness|submit_kernel
pop_l123_all_gpt,set1,all,grok-4.3,28,correct,True,4,0,False,2.0,2.0,,4,get_gpu_specs|compile_kernel|run_correctness|submit_kernel
pop_l123_all_gpt,set1,all,grok-4.3,1,correct,True,10,0,False,8.0,8.0,correctness_fail|compile_error|correctness_fail,10,get_gpu_specs|compile_kernel|run_correctness|compile_kernel|run_correctness|compile_kernel|run_correctness|compile_kernel|run_correctness|submit_kernel
pop_l123_all_gpt,set1,all,grok-4.3,5,incorrect,False,15,0,False,,,correctness_fail|correctness_fail|compile_error|correctness_fail|correctness_fail|correctness_fail|correctness_fail,15,get_gpu_specs|compile_kernel|run_correctness|compile_kernel|run_correctness|compile_kernel|run_correctness|compile_kernel|run_correctness|compile_kernel|run_correctness|compile_kernel|run_correctness|profile_kernel|submit_kernel
pop_l123_all_gpt,set1,all,grok-4.3,6,correct,True,4,0,False,3.0,,,4,get_gpu_specs|compile_kernel|compile_kernel|submit_kernel
pop_l123_all_gpt,set1,all,grok-4.3,3,correct,True,3,0,False,1.0,1.0,,3,compile_kernel|run_correctness|submit_kernel
pop_l123_all_gpt,set1,all,grok-4.3,4,correct,True,8,0,False,6.0,6.0,compile_error|compile_error|correctness_fail,8,get_gpu_specs|compile_kernel|compile_kernel|compile_kernel|run_correctness|compile_kernel|run_correctness|submit_kernel
pop_l123_all_gpt,set1,all,grok-4.3,19,correct,True,4,0,False,3.0,,correctness_fail,4,get_gpu_specs|compile_kernel|run_correctness|submit_kernel
pop_l123_all_gpt,set1,all,grok-4.3,21,correct,True,5,0,False,2.0,2.0,,5,get_gpu_specs|compile_kernel|run_correctness|profile_kernel|submit_kernel
pop_l123_all_gpt,set1,all,grok-4.3,13,correct,True,5,0,False,3.0,3.0,compile_error,5,get_gpu_specs|compile_kernel|compile_kernel|run_correctness|submit_kernel
pop_l123_all_gpt,set1,all,grok-4.3,4,correct,True,3,0,False,1.0,1.0,,3,compile_kernel|run_correctness|submit_kernel
pop_l123_all_gpt,set1,all,grok-4.3,20,correct,True,4,0,False,2.0,2.0,,3,compile_kernel|run_correctness|submit_kernel
pop_l123_all_gpt,set1,all,grok-4.3,33,correct,True,6,0,False,4.0,4.0,correctness_fail,6,get_gpu_specs|compile_kernel|run_correctness|compile_kernel|run_correctness|submit_kernel
pop_l123_all_gpt,set1,all,grok-4.3,22,correct,True,6,0,False,4.0,4.0,compile_error|compile_error,6,get_gpu_specs|compile_kernel|compile_kernel|compile_kernel|run_correctness|submit_kernel
pop_l123_all_gpt,set1,all,grok-4.3,43,correct,True,5,0,False,3.0,3.0,correctness_fail,5,get_gpu_specs|compile_kernel|run_correctness|run_correctness|submit_kernel
pop_l123_all_gpt,set1,all,grok-4.3,1,correct,True,3,0,False,2.0,,,3,get_gpu_specs|compile_kernel|submit_kernel
pop_l123_all_gpt,set1,all,grok-4.3,10,correct,True,5,0,False,2.0,2.0,,5,get_gpu_specs|compile_kernel|run_correctness|profile_kernel|submit_kernel
pop_l123_all_gpt,set1,all,grok-4.3,23,correct,True,3,0,False,1.0,1.0,,3,compile_kernel|run_correctness|submit_kernel
pop_l123_all_gpt,set1,all,grok-4.3,8,incorrect,False,6,0,False,,,compile_error|correctness_fail|correctness_fail|correctness_fail|correctness_fail,7,get_gpu_specs|compile_kernel|run_correctness|compile_kernel|run_correctness|run_correctness|submit_kernel
pop_l123_all_gpt,set1,all,grok-4.3,45,incorrect,False,5,0,False,,,compile_error|correctness_fail|correctness_fail,5,get_gpu_specs|compile_kernel|compile_kernel|run_correctness|submit_kernel
pop_l123_all_gpt,set1,all,grok-4.3,3,compile_fail,False,9,0,False,,,correctness_fail|correctness_fail|correctness_fail|correctness_fail|correctness_fail|compile_error,8,get_gpu_specs|compile_kernel|run_correctness|run_correctness|run_correctness|run_correctness|run_correctness|submit_kernel
pop_l123_all_gpt,set1,all,grok-4.3,11,incorrect,False,7,0,False,,,correctness_fail|correctness_fail|correctness_fail|correctness_fail,7,compile_kernel|run_correctness|compile_kernel|run_correctness|compile_kernel|run_correctness|submit_kernel
pop_l123_all_gpt,set1,all,grok-4.3,44,correct,True,5,0,False,3.0,3.0,compile_error|compile_error,6,get_gpu_specs|compile_kernel|compile_kernel|compile_kernel|run_correctness|submit_kernel
pop_l123_all_gpt,set1,all,grok-4.3,32,incorrect,False,3,0,False,,,correctness_fail,3,get_gpu_specs|compile_kernel|submit_kernel
pop_l123_all_gpt,set1,all,grok-4.3,3,incorrect,False,5,0,False,,,compile_error|other_fail|correctness_fail,5,get_gpu_specs|compile_kernel|compile_kernel|static_check|submit_kernel
pop_l123_all_gpt,set1,all,grok-4.3,41,correct,True,7,0,False,4.0,4.0,correctness_fail,7,get_gpu_specs|compile_kernel|run_correctness|compile_kernel|run_correctness|profile_kernel|submit_kernel
pop_l123_all_gpt,set1,all,grok-4.3,16,compile_fail,False,9,0,False,,,compile_error|compile_error|compile_error|compile_error|compile_error|compile_error|compile_error,8,get_gpu_specs|compile_kernel|compile_kernel|compile_kernel|compile_kernel|compile_kernel|compile_kernel|submit_kernel
pop_l123_all_gpt,set1,all,grok-4.3,23,correct,True,6,0,False,4.0,4.0,correctness_fail,5,compile_kernel|run_correctness|compile_kernel|run_correctness|submit_kernel
pop_l123_all_gpt,set1,all,grok-4.3,5,correct,True,6,0,False,3.0,3.0,compile_error,6,get_gpu_specs|compile_kernel|compile_kernel|run_correctness|profile_kernel|submit_kernel
pop_l123_all_gpt,set1,all,grok-4.3,24,correct,True,5,0,False,3.0,3.0,compile_error|compile_error,5,compile_kernel|compile_kernel|compile_kernel|run_correctness|submit_kernel
pop_l123_all_gpt,set1,all,grok-4.3,17,incorrect,False,6,0,False,,,correctness_fail|correctness_fail|correctness_fail|correctness_fail|correctness_fail,6,compile_kernel|run_correctness|run_correctness|run_correctness|run_correctness|submit_kernel
pop_l123_all_gpt,set1,all,grok-4.3,13,correct,True,6,0,False,3.0,3.0,compile_error,6,get_gpu_specs|compile_kernel|compile_kernel|run_correctness|profile_kernel|submit_kernel
pop_l123_all_gpt,set1,all,grok-4.3,15,correct,True,5,0,False,3.0,3.0,correctness_fail|correctness_fail,5,compile_kernel|run_correctness|run_correctness|run_correctness|submit_kernel
pop_l123_all_gpt,set1,all,grok-4.3,39,incorrect,False,10,0,False,,,compile_error|correctness_fail|correctness_fail|correctness_fail|correctness_fail,10,get_gpu_specs|compile_kernel|compile_kernel|run_correctness|compile_kernel|run_correctness|compile_kernel|run_correctness|profile_kernel|submit_kernel
pop_l123_all_gpt,set1,all,grok-4.3,19,correct,True,9,0,False,2.0,2.0,,9,get_gpu_specs|compile_kernel|run_correctness|profile_kernel|compile_kernel|compile_kernel|compile_kernel|run_correctness|submit_kernel
pop_l123_all_gpt,set1,all,grok-4.3,40,correct,True,6,0,False,4.0,4.0,correctness_fail,6,get_gpu_specs|compile_kernel|run_correctness|compile_kernel|run_correctness|submit_kernel
pop_l123_all_gpt,set1,all,grok-4.3,29,compile_fail,False,2,0,False,,,compile_error,2,get_gpu_specs|submit_kernel
pop_l123_all_gpt,set1,all,grok-4.3,42,correct,True,4,0,False,2.0,2.0,,4,get_gpu_specs|compile_kernel|run_correctness|submit_kernel
pop_l123_all_gpt,set1,all,grok-4.3,25,compile_fail,False,4,0,False,2.0,2.0,compile_error,3,compile_kernel|run_correctness|submit_kernel
pop_l123_all_gpt,set1,all,fw-glm-5-1,6,correct,True,15,0,False,5.0,5.0,compile_error|correctness_fail|correctness_fail,15,get_gpu_specs|compile_kernel|compile_kernel|run_correctness|compile_kernel|run_correctness|profile_kernel|compile_kernel|compile_kernel|run_correctness|profile_kernel|compile_kernel|run_correctness|compile_kernel|submit_kernel
pop_l123_all_gpt,set1,all,fw-glm-5-1,1,correct,True,14,0,False,2.0,2.0,correctness_fail|compile_error|correctness_fail,14,get_gpu_specs|compile_kernel|run_correctness|profile_kernel|compile_kernel|run_correctness|profile_kernel|compile_kernel|run_correctness|compile_kernel|run_correctness|compile_kernel|run_correctness|submit_kernel
pop_l123_all_gpt,set1,all,fw-glm-5-1,15,correct,True,15,0,False,6.0,6.0,correctness_fail|correctness_fail|correctness_fail,15,get_gpu_specs|compile_kernel|run_correctness|compile_kernel|run_correctness|compile_kernel|run_correctness|profile_kernel|compile_kernel|run_correctness|profile_kernel|compile_kernel|run_correctness|compile_kernel|submit_kernel
pop_l123_all_gpt,set1,all,fw-glm-5-1,5,incorrect,False,15,0,False,,,correctness_fail|correctness_fail|correctness_fail|correctness_fail|correctness_fail|correctness_fail|correctness_fail,15,get_gpu_specs|compile_kernel|run_correctness|compile_kernel|run_correctness|compile_kernel|run_correctness|compile_kernel|compile_kernel|run_correctness|compile_kernel|run_correctness|compile_kernel|run_correctness|submit_kernel
pop_l123_all_gpt,set1,all,fw-glm-5-1,13,correct,True,15,0,False,12.0,12.0,compile_error|correctness_fail|correctness_fail|correctness_fail|correctness_fail,17,get_gpu_specs|ert_roofline|compile_kernel|compile_kernel|run_correctness|compile_kernel|run_correctness|compile_kernel|run_correctness|compile_kernel|run_correctness|compile_kernel|compile_kernel|run_correctness|compile_kernel|run_correctness|submit_kernel
pop_l123_all_gpt,set1,all,fw-glm-5-1,22,correct,True,15,0,False,4.0,4.0,compile_error|compile_error|correctness_fail,16,get_gpu_specs|ert_roofline|compile_kernel|compile_kernel|compile_kernel|run_correctness|profile_kernel|compile_kernel|run_correctness|profile_kernel|compile_kernel|run_correctness|compile_kernel|run_correctness|profile_kernel|submit_kernel
pop_l123_all_gpt,set1,all,fw-glm-5-1,47,correct,True,15,0,False,2.0,2.0,correctness_fail,15,get_gpu_specs|compile_kernel|run_correctness|profile_kernel|compile_kernel|run_correctness|profile_kernel|compile_kernel|run_correctness|profile_kernel|compile_kernel|run_correctness|compile_kernel|run_correctness|submit_kernel
pop_l123_all_gpt,set1,all,fw-glm-5-1,25,correct,True,14,0,False,5.0,5.0,compile_error|compile_error,14,get_gpu_specs|ert_roofline|compile_kernel|compile_kernel|compile_kernel|run_correctness|profile_kernel|compile_kernel|run_correctness|profile_kernel|compile_kernel|run_correctness|profile_kernel|submit_kernel
pop_l123_all_gpt,set1,all,fw-glm-5-1,4,correct,True,6,0,False,2.0,2.0,,7,get_gpu_specs|ert_roofline|compile_kernel|run_correctness|profile_kernel|static_check|submit_kernel
pop_l123_all_gpt,set1,all,fw-glm-5-1,10,correct,True,15,0,False,6.0,6.0,correctness_fail|correctness_fail|compile_error|correctness_fail,15,get_gpu_specs|compile_kernel|run_correctness|compile_kernel|run_correctness|compile_kernel|run_correctness|profile_kernel|compile_kernel|compile_kernel|run_correctness|compile_kernel|run_correctness|static_check|submit_kernel
pop_l123_all_gpt,set1,all,fw-glm-5-1,9,correct,True,15,0,False,4.0,4.0,compile_error|correctness_fail,15,get_gpu_specs|compile_kernel|run_correctness|compile_kernel|run_correctness|profile_kernel|compile_kernel|run_correctness|profile_kernel|compile_kernel|run_correctness|compile_kernel|run_correctness|static_check|submit_kernel
pop_l123_all_gpt,set1,all,fw-glm-5-1,39,incorrect,False,15,0,False,,,compile_error|correctness_fail|compile_error|correctness_fail|correctness_fail|correctness_fail|correctness_fail,15,get_gpu_specs|compile_kernel|run_correctness|compile_kernel|run_correctness|compile_kernel|run_correctness|compile_kernel|run_correctness|compile_kernel|run_correctness|compile_kernel|run_correctness|compile_kernel|submit_kernel
pop_l123_all_gpt,set1,all,fw-glm-5-1,25,correct,True,14,0,False,2.0,2.0,,14,get_gpu_specs|compile_kernel|run_correctness|profile_kernel|compile_kernel|run_correctness|profile_kernel|compile_kernel|run_correctness|profile_kernel|compile_kernel|run_correctness|static_check|submit_kernel
pop_l123_all_gpt,set1,all,fw-glm-5-1,23,correct,True,14,0,False,2.0,2.0,,14,get_gpu_specs|compile_kernel|run_correctness|profile_kernel|compile_kernel|run_correctness|profile_kernel|compile_kernel|run_correctness|profile_kernel|compile_kernel|run_correctness|static_check|submit_kernel
pop_l123_all_gpt,set1,all,fw-glm-5-1,23,correct,True,14,0,False,7.0,7.0,compile_error|correctness_fail|correctness_fail|correctness_fail,15,get_gpu_specs|ert_roofline|compile_kernel|compile_kernel|run_correctness|compile_kernel|run_correctness|compile_kernel|run_correctness|profile_kernel|compile_kernel|run_correctness|compile_kernel|run_correctness|submit_kernel
pop_l123_all_gpt,set1,all,fw-glm-5-1,21,correct,True,15,0,False,5.0,5.0,compile_error|compile_error|compile_error|correctness_fail,16,get_gpu_specs|ert_roofline|compile_kernel|compile_kernel|compile_kernel|compile_kernel|run_correctness|profile_kernel|compile_kernel|run_correctness|compile_kernel|run_correctness|profile_kernel|compile_kernel|run_correctness|submit_kernel
pop_l123_all_gpt,set1,all,fw-glm-5-1,28,correct,True,15,0,False,4.0,4.0,compile_error|compile_error,15,get_gpu_specs|compile_kernel|compile_kernel|compile_kernel|run_correctness|profile_kernel|compile_kernel|run_correctness|profile_kernel|compile_kernel|run_correctness|profile_kernel|compile_kernel|run_correctness|submit_kernel
pop_l123_all_gpt,set1,all,fw-glm-5-1,45,incorrect,False,15,0,False,3.0,3.0,correctness_fail|correctness_fail|correctness_fail|correctness_fail|correctness_fail|correctness_fail,15,get_gpu_specs|compile_kernel|compile_kernel|run_correctness|compile_kernel|run_correctness|compile_kernel|run_correctness|compile_kernel|run_correctness|compile_kernel|run_correctness|compile_kernel|run_correctness|submit_kernel
pop_l123_all_gpt,set1,all,fw-glm-5-1,42,correct,True,14,0,False,2.0,2.0,,14,get_gpu_specs|compile_kernel|run_correctness|profile_kernel|compile_kernel|run_correctness|profile_kernel|compile_kernel|run_correctness|profile_kernel|compile_kernel|run_correctness|static_check|submit_kernel
pop_l123_all_gpt,set1,all,fw-glm-5-1,29,correct,True,15,0,False,13.0,13.0,compile_error|compile_error|compile_error|compile_error|compile_error|compile_error|compile_error|compile_error|correctness_fail,16,get_gpu_specs|ert_roofline|compile_kernel|compile_kernel|compile_kernel|compile_kernel|compile_kernel|compile_kernel|compile_kernel|compile_kernel|compile_kernel|compile_kernel|run_correctness|compile_kernel|run_correctness|submit_kernel
pop_l123_all_gpt,set1,all,fw-glm-5-1,17,incorrect,False,15,0,False,,,correctness_fail|correctness_fail|correctness_fail|correctness_fail|correctness_fail|correctness_fail,15,get_gpu_specs|compile_kernel|run_correctness|compile_kernel|run_correctness|compile_kernel|run_correctness|compile_kernel|run_correctness|compile_kernel|profile_kernel|compile_kernel|run_correctness|compile_kernel|submit_kernel
pop_l123_all_gpt,set1,all,fw-glm-5-1,8,correct,True,15,0,False,5.0,5.0,compile_error|compile_error|compile_error|compile_error|correctness_fail,16,get_gpu_specs|ert_roofline|compile_kernel|compile_kernel|compile_kernel|compile_kernel|run_correctness|profile_kernel|compile_kernel|run_correctness|compile_kernel|run_correctness|compile_kernel|run_correctness|static_check|submit_kernel
pop_l123_all_gpt,set1,all,fw-glm-5-1,3,correct,True,15,0,False,6.0,6.0,correctness_fail|correctness_fail,16,get_gpu_specs|ert_roofline|compile_kernel|run_correctness|compile_kernel|run_correctness|compile_kernel|run_correctness|profile_kernel|compile_kernel|run_correctness|profile_kernel|compile_kernel|run_correctness|profile_kernel|submit_kernel
pop_l123_all_gpt,set1,all,fw-glm-5-1,24,correct,True,15,0,False,7.0,7.0,compile_error|compile_error|compile_error|correctness_fail,15,get_gpu_specs|compile_kernel|compile_kernel|compile_kernel|compile_kernel|run_correctness|compile_kernel|run_correctness|profile_kernel|compile_kernel|run_correctness|profile_kernel|compile_kernel|run_correctness|submit_kernel
pop_l123_all_gpt,set1,all,fw-glm-5-1,44,correct,True,13,0,False,9.0,9.0,compile_error|compile_error|correctness_fail,14,get_gpu_specs|ert_roofline|compile_kernel|run_correctness|compile_kernel|run_correctness|compile_kernel|run_correctness|compile_kernel|compile_kernel|run_correctness|profile_kernel|compile_kernel|submit_kernel
pop_l123_all_gpt,set1,all,fw-glm-5-1,26,incorrect,False,15,0,False,,,compile_error|compile_error|compile_error|compile_error|compile_error|compile_error|compile_error|compile_error|compile_error|compile_error|compile_error|correctness_fail|correctness_fail,15,get_gpu_specs|compile_kernel|compile_kernel|compile_kernel|compile_kernel|compile_kernel|compile_kernel|compile_kernel|compile_kernel|compile_kernel|compile_kernel|compile_kernel|compile_kernel|run_correctness|submit_kernel
pop_l123_all_gpt,set1,all,fw-glm-5-1,5,correct,True,15,0,False,5.0,5.0,compile_error|correctness_fail,15,get_gpu_specs|compile_kernel|compile_kernel|run_correctness|compile_kernel|run_correctness|profile_kernel|compile_kernel|run_correctness|profile_kernel|compile_kernel|run_correctness|profile_kernel|static_check|submit_kernel
pop_l123_all_gpt,set1,all,fw-glm-5-1,49,correct,True,15,0,False,7.0,7.0,compile_error|compile_error|correctness_fail,15,get_gpu_specs|compile_kernel|run_correctness|compile_kernel|compile_kernel|run_correctness|compile_kernel|run_correctness|profile_kernel|compile_kernel|run_correctness|profile_kernel|compile_kernel|run_correctness|submit_kernel
